['392', '589', '491', '692', '445', '537', '595', '635', '300', '472', '466', '634', '582', '183', '871', '277', '886', '50', '370', '51']
['411', '145', '791', '473', '827', '41', '396', '670', '758', '455', '447', '645', '121', '993', '530', '785', '125', '262', '776', '521']
['752', '494', '256', '872', '235', '196', '863', '152', '924', '868', '297', '667', '194', '245', '523', '440', '261', '179', '629', '779']
['701', '503', '219', '740', '675', '172', '948', '731', '860', '761', '450', '496', '480', '371', '991', '591', '234', '981', '61', '284']
['714', '181', '699', '400', '53', '532', '828', '788', '918', '535', '976', '825', '244', '703', '461', '468', '398', '293', '935', '436']
['389', '130', '116', '268', '738', '424', '177', '687', '730', '170', '193', '580', '118', '223', '438', '803', '492', '647', '129', '833']
['47', '342', '457', '802', '341', '980', '906', '659', '72', '332', '312', '890', '264', '335', '60', '66', '383', '934', '904', '956']
['374', '695', '679', '482', '965', '258', '89', '594', '556', '355', '475', '873', '337', '722', '373', '28', '643', '449', '673', '524']
['349', '376', '418', '883', '283', '681', '45', '106', '995', '905', '744', '977', '546', '36', '953', '339', '57', '5', '516', '536']
['724', '749', '138', '255', '549', '745', '366', '885', '579', '452', '804', '592', '226', '298', '410', '316', '971', '345', '303', '790']
['584', '379', '363', '856', '846', '636', '772', '908', '304', '585', '618', '891', '984', '630', '768', '784', '96', '736', '127', '218']
['153', '397', '128', '735', '76', '94', '236', '333', '210', '15', '678', '269', '970', '431', '558', '330', '817', '985', '572', '100']
['416', '267', '42', '198', '280', '640', '307', '344', '925', '104', '830', '429', '448', '843', '171', '894', '381', '490', '369', '895']
['734', '3', '852', '968', '357', '7', '356', '915', '555', '718', '233', '766', '136', '328', '771', '432', '986', '97', '387', '497']
['964', '310', '711', '14', '59', '142', '950', '889', '485', '877', '792', '959', '352', '764', '586', '599', '30', '484', '988', '565']
['422', '982', '987', '161', '669', '16', '750', '923', '434', '961', '769', '773', '212', '550', '655', '917', '327', '612', '841', '265']
['311', '329', '878', '694', '774', '275', '732', '481', '590', '487', '578', '143', '501', '217', '505', '169', '748', '325', '674', '500']
['471', '829', '368', '810', '823', '119', '747', '63', '786', '446', '239', '111', '973', '209', '506', '367', '166', '296', '364', '926']
['743', '603', '334', '478', '882', '671', '847', '6', '623', '34', '151', '420', '488', '453', '861', '102', '176', '320', '954', '417']
['824', '441', '299', '266', '230', '663', '600', '561', '531', '192', '997', '98', '966', '8', '879', '242', '818', '407', '87', '84']
['65', '613', '124', '365', '91', '525', '862', '271', '684', '322', '69', '131', '854', '220', '39', '294', '93', '913', '805', '54']
['250', '134', '553', '82', '781', '949', '602', '571', '710', '442', '573', '433', '680', '972', '467', '35', '351', '464', '238', '62']
