['24', '728', '150', '432', '433', '400', '824', '736', '38', '264', '768', '419', '512', '397', '682', '238', '621', '153', '398', '443']
['547', '65', '982', '386', '91', '171', '771', '187', '631', '511', '348', '844', '673', '421', '522', '847', '453', '941', '962', '411']
['634', '189', '496', '775', '725', '564', '972', '830', '228', '694', '610', '719', '207', '446', '109', '97', '385', '436', '520', '570']
['127', '266', '66', '183', '541', '196', '776', '422', '465', '156', '681', '104', '764', '549', '379', '500', '778', '960', '958', '328']
['870', '940', '765', '0', '846', '637', '253', '458', '499', '62', '727', '146', '210', '467', '553', '131', '595', '569', '186', '94']
['780', '317', '514', '611', '554', '429', '308', '762', '329', '744', '919', '25', '362', '658', '236', '625', '664', '883', '388', '80']
['747', '530', '633', '551', '836', '231', '656', '544', '998', '878', '602', '995', '322', '619', '490', '720', '851', '753', '244', '502']
['910', '442', '981', '509', '890', '713', '971', '671', '486', '916', '539', '604', '107', '175', '326', '586', '393', '964', '856', '399']
['42', '121', '660', '256', '891', '516', '324', '120', '383', '58', '783', '320', '431', '969', '201', '946', '821', '254', '508', '624']
['301', '268', '36', '477', '1', '665', '653', '899', '218', '71', '257', '763', '77', '735', '116', '110', '128', '333', '193', '674']
['401', '825', '349', '444', '797', '302', '802', '991', '643', '394', '704', '605', '474', '510', '267', '818', '315', '184', '498', '367']
['912', '889', '953', '730', '926', '718', '642', '866', '134', '927', '64', '734', '677', '867', '806', '75', '751', '884', '164', '199']
['61', '989', '712', '40', '874', '273', '217', '416', '606', '363', '342', '769', '635', '309', '838', '770', '997', '145', '353', '81']
