['473', '360', '247', '58', '163', '884', '524', '987', '361', '55']
['633', '809', '720', '517', '433', '695', '835', '329', '6', '640']
['642', '882', '462', '497', '719', '935', '375', '896', '281', '671']
['226', '612', '867', '332', '657', '104', '53', '73', '599', '926']
['778', '787', '26', '723', '234', '905', '67', '999', '583', '42']
['898', '610', '543', '439', '661', '372', '522', '469', '477', '602']
['36', '219', '670', '440', '408', '943', '453', '368', '875', '877']
['330', '429', '557', '71', '650', '510', '803', '52', '530', '447']
['796', '134', '470', '947', '362', '938', '1', '19', '741', '850']
['820', '998', '98', '326', '235', '545', '300', '80', '917', '369']
['14', '305', '377', '261', '571', '61', '957', '118', '388', '725']
