['226', '828', '820', '109', '246', '726', '236', '74', '475', '864', '748', '64', '463', '136', '685', '215', '790', '551', '122', '557']
['753', '67', '156', '376', '62', '750', '703', '699', '830', '594', '63', '746', '900', '957', '921', '613', '650', '545', '345', '309']
['583', '980', '301', '277', '388', '400', '413', '938', '810', '185', '399', '806', '199', '949', '51', '893', '87', '196', '647', '824']
['363', '795', '496', '603', '840', '104', '570', '689', '834', '328', '706', '20', '453', '616', '408', '823', '797', '172', '922', '412']
['319', '82', '488', '337', '1', '801', '873', '320', '200', '635', '383', '366', '483', '587', '144', '664', '870', '781', '693', '623']
['102', '701', '243', '78', '351', '117', '714', '206', '189', '94', '237', '208', '751', '378', '712', '614', '804', '210', '11', '349']
['197', '12', '995', '818', '250', '620', '708', '76', '585', '602', '341', '303', '481', '304', '19', '821', '233', '744', '591', '88']
['460', '93', '782', '576', '113', '209', '384', '522', '734', '926', '867', '931', '193', '339', '312', '516', '75', '984', '220', '423']
['697', '835', '103', '371', '741', '338', '38', '427', '228', '831', '416', '976', '907', '865', '256', '979', '700', '869', '609', '998']
['698', '993', '731', '382', '0', '654', '123', '169', '958', '752', '130', '891', '213', '174', '962', '48', '138', '918', '606', '813']
['762', '645', '858', '198', '924', '178', '574', '927', '275', '425', '214', '852', '254', '227', '175', '148', '899', '839', '70', '872']
['10', '329', '803', '36', '747', '953', '675', '916', '977', '327', '967', '845', '611', '621', '357', '474', '941', '662', '195', '946']
['886', '639', '656', '555', '754', '5', '284', '658', '457', '344', '15', '269', '192', '598', '406', '892', '361', '838', '527', '168']
['511', '636', '131', '348', '707', '881', '848', '853', '46', '513', '644', '8', '683', '456', '826', '904', '207', '986', '364', '365']
['262', '418', '86', '455', '225', '539', '996', '111', '429', '581', '960', '370', '244', '163', '549', '517', '736', '756', '477', '300']
['989', '676', '440', '765', '682', '677', '373', '578', '451', '34', '355', '880', '241', '992', '930', '495', '808', '622', '221', '334']
['155', '687', '497', '305', '512', '187', '81', '61', '573', '854', '478', '223', '454', '212', '401', '270', '770', '503', '268', '832']
['800', '819', '402', '519', '369', '479', '568', '975', '563', '152', '793', '252', '360', '825', '120', '653', '135', '294', '285', '510']
['504', '391', '292', '837', '288', '972', '780', '55', '952', '915', '101', '279', '605', '604', '476', '499', '642', '829', '37', '702']
['815', '331', '607', '755', '176', '7', '595', '354', '964', '791', '107', '232', '3', '565', '411', '759', '951', '974', '612', '763']
['467', '691', '735', '29', '471', '786', '299', '133', '560', '696', '901', '342', '458', '836', '347', '159', '375', '162', '666', '600']
['398', '540', '912', '944', '771', '866', '809', '446', '684', '833', '690', '47', '362', '31', '769', '709', '57', '450', '177', '649']
['615', '296', '959', '885', '627', '704', '240', '165', '629', '547', '729', '776', '18', '203', '947', '844', '356', '150', '740', '80']
['386', '875', '571', '121', '271', '485', '575', '533', '470', '663', '661', '330', '890', '184', '421', '506', '811', '439', '784', '486']
['49', '925', '978', '767', '255', '732', '774', '631', '340', '556', '659', '792', '536', '106', '502', '933', '171', '589', '577', '25']
['758', '596', '59', '267', '77', '764', '902', '85', '448', '766', '147', '965', '537', '857', '713', '637', '851', '139', '807', '140']
['389', '431', '942', '643', '142', '295', '580', '725', '229', '372', '65', '194', '283', '419', '876', '566', '997', '525', '970', '480']
['822', '112', '417', '492', '521', '928', '143', '443', '625', '276', '469', '859', '841', '608', '586', '415', '543', '377', '128', '592']
['878', '24', '216', '507', '634', '582', '908', '461', '934', '306', '874', '630', '983', '239', '738', '230', '438', '500', '395', '441']
['336', '514', '694', '17', '914', '298', '26', '745', '981', '719', '326', '678', '999', '352', '535', '882', '812', '405', '422', '264']
['994', '316', '100', '428', '909', '860', '164', '889', '897', '315', '260', '794', '680', '641', '618', '985', '528', '723', '153', '247']
