['740', '329', '531']
['410', '209', '48']
['326', '788', '739']
['765', '551', '97']
['654', '722', '635']
['268', '944', '827']
['122', '520', '611']
['152', '28', '637']
['288', '981', '965']
['558', '421', '794']
['914', '947', '78']
['726', '148', '953']
['943', '804', '701']
['106', '662', '377']
['563', '844', '724']
['438', '347', '50']
['764', '910', '362']
['369', '378', '26']
['128', '581', '878']
['887', '840', '777']
['869', '741', '861']
['876', '261', '607']
['588', '533', '622']
['747', '103', '550']
['404', '619', '55']
['58', '89', '39']
['195', '415', '370']
['19', '837', '107']
['407', '16', '323']
['954', '84', '222']
['810', '5', '312']
['237', '841', '335']
['118', '449', '545']
['556', '707', '842']
['391', '614', '754']
['658', '101', '941']
['651', '617', '866']
['629', '342', '579']
['864', '562', '252']
['419', '140', '358']
['33', '586', '62']
['472', '172', '38']
['214', '490', '401']
['880', '134', '506']
['348', '266', '487']
['125', '961', '235']
['817', '720', '950']
['185', '736', '915']
['365', '780', '596']
['997', '372', '678']
['623', '276', '267']
['584', '422', '737']
['989', '851', '526']
['962', '435', '515']
['34', '52', '305']
['821', '525', '846']
['68', '264', '331']
['218', '805', '744']
['168', '919', '732']
['273', '227', '322']
['787', '927', '958']
['998', '759', '956']
['779', '753', '155']
['291', '468', '862']
['850', '413', '105']
['69', '576', '970']
['67', '20', '776']
['457', '1', '553']
['964', '190', '40']
['938', '111', '478']
['557', '951', '49']
['806', '259', '21']
['783', '966', '793']
['991', '86', '392']
['477', '456', '826']
['499', '3', '541']
['418', '522', '95']
['518', '10', '873']
['173', '142', '265']
['463', '820', '412']
['144', '495', '171']
['338', '70', '733']
['129', '630', '605']
['868', '57', '299']
['283', '306', '933']
['813', '367', '37']
['682', '711', '567']
['416', '905', '247']
['304']
